bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
216533,165651,text,141537,application/pdf,Introduced,https://legiscan.com/US/text/HB22/id/165651,https://www.congress.gov/112/bills/hr22/BILLS-112hr22ih.pdf
216534,173343,text,128467,application/pdf,Introduced,https://legiscan.com/US/text/HB23/id/173343,https://www.congress.gov/112/bills/hr23/BILLS-112hr23ih.pdf
216535,173364,text,127989,application/pdf,Introduced,https://legiscan.com/US/text/HB24/id/173364,https://www.congress.gov/112/bills/hr24/BILLS-112hr24ih.pdf
216536,173387,text,345170,application/pdf,Introduced,https://legiscan.com/US/text/HB25/id/173387,https://www.congress.gov/112/bills/hr25/BILLS-112hr25ih.pdf
216537,177035,text,126312,application/pdf,Introduced,https://legiscan.com/US/text/HB26/id/177035,https://www.congress.gov/112/bills/hr26/BILLS-112hr26ih.pdf
216538,173423,text,128559,application/pdf,Introduced,https://legiscan.com/US/text/HB27/id/173423,https://www.congress.gov/112/bills/hr27/BILLS-112hr27ih.pdf
216539,173421,text,138148,application/pdf,Introduced,https://legiscan.com/US/text/HB28/id/173421,https://www.congress.gov/112/bills/hr28/BILLS-112hr28ih.pdf
216540,173471,text,121193,application/pdf,Introduced,https://legiscan.com/US/text/HB29/id/173471,https://www.congress.gov/112/bills/hr29/BILLS-112hr29ih.pdf
216541,173508,text,124838,application/pdf,Introduced,https://legiscan.com/US/text/HB30/id/173508,https://www.congress.gov/112/bills/hr30/BILLS-112hr30ih.pdf
216542,173532,text,136813,application/pdf,Introduced,https://legiscan.com/US/text/HB31/id/173532,https://www.congress.gov/112/bills/hr31/BILLS-112hr31ih.pdf
216543,173553,text,122706,application/pdf,Introduced,https://legiscan.com/US/text/HB32/id/173553,https://www.congress.gov/112/bills/hr32/BILLS-112hr32ih.pdf
216544,173583,text,121078,application/pdf,Introduced,https://legiscan.com/US/text/HB33/id/173583,https://www.congress.gov/112/bills/hr33/BILLS-112hr33ih.pdf
216544,363034,text,176768,application/pdf,Introduced,https://legiscan.com/US/text/HB33/id/363034,https://www.congress.gov/112/bills/hr33/BILLS-112hr33rh.pdf
216544,347187,text,150199,application/pdf,Engrossed,https://legiscan.com/US/text/HB33/id/347187,https://www.congress.gov/112/bills/hr33/BILLS-112hr33eh.pdf
216544,657255,text,119713,application/pdf,Enrolled,https://legiscan.com/US/text/HB33/id/657255,https://www.congress.gov/112/bills/hr33/BILLS-112hr33enr.pdf
